fact_unit,2019-04-24,2020-04-24,2020-11-16,2021-04-30,2022-04-25,2023-04-26,2024-04-25,2025-04-28
IncomeTaxExpenseBenefit / USD,,,0.0,0.0,303422000.0,685157000.0,1669024000.0,2776538000.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / CNY,68721000.0,86530000.0,,618508000.0,1353218000.0,1059760000.0,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / USD,89958000.0,194377000.0,,162415000.0,-67624000.0,-323710000.0,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / CNY,3208000.0,27074000.0,,1779100000.0,735028000.0,1077383000.0,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / USD,258759000.0,105580000.0,,165116000.0,238910000.0,291902000.0,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / CNY,-72994000.0,-131279000.0,,-2554281000.0,-1741901000.0,-1794935000.0,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,-371505000.0,-250208000.0,,-275086000.0,380624000.0,1314437000.0,,
IncomeTaxReconciliationNondeductibleExpense / CNY,7120000.0,6890000.0,,36726000.0,-5980000.0,108000.0,,
IncomeTaxReconciliationNondeductibleExpense / USD,5342000.0,-859000.0,,17000.0,26221000.0,52346000.0,,
IncomeTaxReconciliationTaxCreditsResearch / CNY,22672000.0,22672000.0,,22672000.0,67628000.0,124858000.0,,
IncomeTaxReconciliationTaxCreditsResearch / USD,3298000.0,9714000.0,,19135000.0,35086000.0,64384000.0,,
IncomeTaxReconciliationTaxExemptIncome / CNY,6055000.0,11962000.0,,20973000.0,61151000.0,164120000.0,,
IncomeTaxReconciliationTaxExemptIncome / USD,3050000.0,8784000.0,,25153000.0,21877000.0,17698000.0,,
IncomeTaxesPaid / CNY,,,,,,4881252000.0,4881252000.0,4881252000.0
IncomeTaxesPaid / USD,,,,,,707715000.0,811904000.0,2396508000.0
IncreaseDecreaseInAccountsReceivable / CNY,,77891000.0,276850000.0,159413000.0,803388000.0,-321426000.0,-55811000.0,-86041000.0
IncreaseDecreaseInAccountsReceivable / USD,,115399000.0,-76583000.0,-49261000.0,-8758000.0,-12475000.0,468517000.0,-6687000.0
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities / CNY,-95410000.0,318363000.0,1977459000.0,1864153000.0,2648869000.0,5849148000.0,3492038000.0,7003998000.0
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities / USD,271130000.0,380486000.0,298547000.0,896421000.0,547979000.0,1015484000.0,4825162000.0,1888023000.0
IncreaseDecreaseInDueFromRelatedParties / CNY,2748000.0,350265000.0,234457000.0,576121000.0,886863000.0,1636541000.0,10086000.0,2068675000.0
IncreaseDecreaseInDueFromRelatedParties / USD,83793000.0,127390000.0,159597000.0,250811000.0,1583000.0,299930000.0,154402000.0,19332000.0
IncreaseDecreaseInDueToRelatedParties / CNY,-42319000.0,51081000.0,1607491000.0,402056000.0,1024779000.0,1882971000.0,-1422856000.0,-286616000.0
IncreaseDecreaseInDueToRelatedParties / USD,58477000.0,147200000.0,264504000.0,288578000.0,-223277000.0,-41555000.0,-61637000.0,-59857000.0
IncreaseDecreaseInOperatingLeaseLiability / CNY,,,,,-46067000.0,-137936000.0,-354123000.0,-487068000.0
IncreaseDecreaseInOperatingLeaseLiability / USD,,,,,-55570000.0,-70618000.0,-137719000.0,-257539000.0
IncreaseDecreaseInOtherNoncurrentAssets / CNY,,69471000.0,52527000.0,69471000.0,69471000.0,13182000.0,23102000.0,34492000.0
IncreaseDecreaseInOtherNoncurrentAssets / USD,,9979000.0,253000.0,2020000.0,3625000.0,5001000.0,25938000.0,-21976000.0
