fact_unit,2022-03-31,2022-06-13,2022-08-19,2022-11-22,2023-04-14,2023-05-18,2023-08-09,2023-11-07,2024-04-29,2024-11-05,2025-03-20,2025-05-06,2025-08-05,2025-11-12
OtherComprehensiveIncomeAttributableToNoncontrollingInterests / USD,0.0,,-2000000.0,-3000000.0,5000000.0,,-6000000.0,-15000000.0,-4000000.0,0.0,-9000000.0,-2000000.0,-1000000.0,0.0
OtherComprehensiveIncomeAttributableToOwnersOfParent / USD,10704000.0,-28000000.0,-21000000.0,-41000000.0,-9000000.0,75000000.0,3000000.0,6000000.0,-50000000.0,-38000000.0,146000000.0,-26000000.0,-27000000.0,20000000.0
OtherComprehensiveIncomeBeforeTaxCashFlowHedges / USD,12351000.0,-22000000.0,-19000000.0,-37000000.0,-23000000.0,79000000.0,13000000.0,22000000.0,-45000000.0,-37000000.0,187000000.0,-22000000.0,-20000000.0,8000000.0
OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax / USD,11270000.0,-28000000.0,-23000000.0,-44000000.0,-25000000.0,75000000.0,-3000000.0,-9000000.0,-54000000.0,-38000000.0,137000000.0,-28000000.0,-28000000.0,20000000.0
OtherCurrentFinancialAssets / USD,50534000.0,23000000.0,23000000.0,23000000.0,23000000.0,79000000.0,79000000.0,79000000.0,79000000.0,52000000.0,52000000.0,22000000.0,22000000.0,22000000.0
OtherCurrentPayables / USD,48860000.0,,,,118000000.0,,,,98000000.0,,97000000.0,97000000.0,97000000.0,163000000.0
OtherCurrentReceivables / USD,218717000.0,239000000.0,239000000.0,239000000.0,238000000.0,497000000.0,497000000.0,497000000.0,497000000.0,255000000.0,255000000.0,307000000.0,307000000.0,307000000.0
OtherEmployeeExpense / USD,2121007000.0,,,,2189000000.0,,,,2424000000.0,,2567000000.0,,,
OtherFinanceCost / USD,3939000.0,,,,3000000.0,,,,3000000.0,,6000000.0,,,
OtherInflowsOutflowsOfCashClassifiedAsFinancingActivities / USD,,39000000.0,,,,11000000.0,,,,,0.0,,,
OtherInflowsOutflowsOfCashClassifiedAsInvestingActivities / USD,4600000.0,-1000000.0,-2000000.0,-2000000.0,6000000.0,-5000000.0,-22000000.0,-40000000.0,-7000000.0,21000000.0,-44000000.0,,,
OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities / USD,20232000.0,-15000000.0,,,,,,,,,,-9000000.0,-18000000.0,0.0
