fact_unit,2023-11-07,2024-02-27,2024-05-08,2024-08-08,2024-11-06,2025-02-26,2025-03-19,2025-05-08,2025-08-06,2025-11-05
ImpairmentOfLongLivedAssetsToBeDisposedOf / USD,,,,,,,,21500000.0,0.0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,287440000.0,,,,399244000.0,371382000.0,371382000.0,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,1954000.0,,,,4305000.0,-3297000.0,-3297000.0,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments / USD,333030000.0,289394000.0,91843000.0,177283000.0,209788000.0,403549000.0,368085000.0,368085000.0,-191317000.0,-183710000.0
IncomeLossFromEquityMethodInvestments / USD,-309000.0,-209000.0,-263000.0,-980000.0,-309000.0,-209000.0,7388000.0,7388000.0,3925000.0,2612000.0
IncomeTaxCreditsAndAdjustments / USD,,-2368000.0,860000.0,1132000.0,5959000.0,2334000.0,-17550000.0,-17550000.0,-28018000.0,-39072000.0
IncomeTaxExpenseBenefit / USD,12490000.0,15769000.0,3630000.0,6499000.0,17655000.0,14318000.0,15895000.0,15895000.0,878000.0,3743000.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / USD,,580000.0,,,,-1756000.0,-2141000.0,-2141000.0,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / USD,,15905000.0,,,,12072000.0,28105000.0,28105000.0,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,60773000.0,,,,84743000.0,77296000.0,77296000.0,,
IncomeTaxReconciliationNondeductibleExpenseOther / USD,,-60363000.0,,,,-83839000.0,-91436000.0,-91436000.0,,
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost / USD,,4465000.0,,,,4465000.0,0.0,0.0,,
IncomeTaxReconciliationOtherAdjustments / USD,,-1894000.0,,,,-4000.0,9576000.0,9576000.0,,
IncomeTaxReconciliationPriorYearIncomeTaxes / USD,,-998000.0,,,,968000.0,-983000.0,-983000.0,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,,795000.0,,,,1275000.0,788000.0,788000.0,,
IncomeTaxReconciliationTaxCreditsForeign / USD,,,,,,25606000.0,,0.0,,
IncomeTaxesPaidNet / USD,10971000.0,18579000.0,2878000.0,7057000.0,11869000.0,14794000.0,19765000.0,19765000.0,16568000.0,46137000.0
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities / USD,2435000.0,25985000.0,-24724000.0,-20518000.0,13046000.0,19657000.0,13809000.0,13809000.0,423896000.0,455333000.0
IncreaseDecreaseInAccountsReceivable / USD,27123000.0,-4396000.0,7719000.0,3665000.0,46271000.0,26404000.0,104895000.0,104895000.0,190537000.0,176655000.0
IncreaseDecreaseInDeferredCharges / USD,,,,,,,-979000.0,-979000.0,,
IncreaseDecreaseInDeferredRevenue / USD,-10860000.0,29541000.0,-3945000.0,1362000.0,-39810000.0,10731000.0,-24532000.0,-24532000.0,58932000.0,-306935000.0
IncreaseDecreaseInOtherCurrentAssets / USD,-16162000.0,16119000.0,13866000.0,26405000.0,-19402000.0,-9979000.0,49025000.0,49025000.0,93240000.0,-342144000.0
IncreaseDecreaseInOtherNoncurrentAssets / USD,12247000.0,16689000.0,3143000.0,7479000.0,11459000.0,16786000.0,27323000.0,27323000.0,84753000.0,190932000.0
IncreaseDecreaseInOtherOperatingLiabilities / USD,2055000.0,-2212000.0,6595000.0,10639000.0,-7260000.0,744000.0,43520000.0,43520000.0,31513000.0,86556000.0
IncrementalCommonSharesAttributableToConversionOfDebtSecurities / shares,175584.0,,,,,89616891.0,,89616891.0,107506893.0,89616891.0
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,,,,966875.0,1017952.0,917177.0,,917177.0,966875.0,1017952.0
IntangibleAssetsGrossExcludingGoodwill / USD,,,,,,,1794056000.0,5006882000.0,,
IntangibleAssetsNetExcludingGoodwill / USD,475765000.0,475765000.0,3563663000.0,3563663000.0,3563663000.0,3563663000.0,946901000.0,3989630000.0,3649903000.0,3649903000.0
InterestExpense / USD,90767000.0,102247000.0,53908000.0,111803000.0,172439000.0,139567000.0,134084000.0,134084000.0,124156000.0,183589000.0
InterestPaidNet / USD,77270000.0,84154000.0,50495000.0,103499000.0,159867000.0,118315000.0,118532000.0,118532000.0,130076000.0,190140000.0
InterestPayableCurrent / USD,35502000.0,35502000.0,41634000.0,100982000.0,41634000.0,41634000.0,35502000.0,41634000.0,20817000.0,20817000.0
Investments / USD,5416000.0,5416000.0,16392000.0,16392000.0,16392000.0,16392000.0,61606000.0,78486000.0,101215000.0,101215000.0
LeaseCost / USD,1473000.0,3040000.0,,,,2094000.0,13694000.0,13694000.0,,
LesseeOperatingLeaseLiabilityPaymentsDue / USD,51703000.0,50166000.0,,,,43164000.0,100305000.0,83390000.0,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,24343000.0,20401000.0,,,,14882000.0,21580000.0,15378000.0,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,7052000.0,6781000.0,,,,6727000.0,21846000.0,20956000.0,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,4329000.0,,,,3893000.0,6682000.0,5285000.0,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,5737000.0,5762000.0,,,,4705000.0,13539000.0,7935000.0,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,6067000.0,6332000.0,,,,6234000.0,17435000.0,14867000.0,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,6275000.0,6561000.0,,,,6723000.0,19223000.0,18969000.0,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,14989000.0,13009000.0,,,,9964000.0,18631000.0,13896000.0,,
Liabilities / USD,3001906000.0,3001906000.0,3840193000.0,3840193000.0,3840193000.0,3840193000.0,3898748000.0,4939810000.0,4968918000.0,4968918000.0
LiabilitiesAndStockholdersEquity / USD,3580730000.0,3580730000.0,12690739000.0,12690739000.0,12690739000.0,12690739000.0,5858675000.0,15391093000.0,15111782000.0,15111782000.0
LiabilitiesCurrent / USD,230179000.0,230179000.0,472140000.0,472140000.0,472140000.0,472140000.0,886018000.0,1388103000.0,1413793000.0,1413793000.0
LitigationSettlementAmountAwardedToOtherParty / USD,,20000000.0,335000000.0,335000000.0,335000000.0,375000000.0,20000.0,20000000.0,335000000.0,375000000.0
LitigationSettlementExpense / USD,,,,,,,20000000.0,,,
LongTermDebt / USD,2758998000.0,2758998000.0,2736315000.0,2736315000.0,2736315000.0,2736315000.0,2761944000.0,2739471000.0,2762282000.0,2762282000.0
LongTermDebtCurrent / USD,22683000.0,22683000.0,22367000.0,22367000.0,22367000.0,22367000.0,23226000.0,22833000.0,26977000.0,26977000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive / USD,,,,,,2612500000.0,500000.0,2613600000.0,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths / USD,,32600000.0,,,,29100000.0,33500000.0,30000000.0,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive / USD,,25467000.0,,,,27500000.0,25967000.0,28100000.0,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour / USD,,1600000.0,,,,52967000.0,2300000.0,53567000.0,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree / USD,,2668366000.0,,,,29100000.0,2669066000.0,29900000.0,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo / USD,,32600000.0,,,,29100000.0,33567000.0,29900000.0,,
