fact_unit,2016-11-10,2017-02-16,2017-05-11,2017-08-11,2017-11-13,2018-02-28,2018-05-10,2018-08-09,2018-11-09,2019-02-22,2019-05-09,2019-08-09,2019-11-08,2020-02-28,2020-05-08,2020-08-07,2020-11-06,2021-02-19,2021-05-10,2021-08-09,2021-11-08,2022-02-16,2022-05-10,2022-08-09,2022-11-09,2023-02-15,2023-05-10,2023-08-09,2023-11-09,2024-02-15,2024-05-10,2024-08-08,2024-11-07,2025-02-21,2025-05-08,2025-08-07,2025-11-06
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,0.35,0.34,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.21,0.21,0.21,0.35,0.21,0.35,0.35,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,0.02,,,,-0.003,,,,0.011,,,,0.022,,,,0.021,,,,0.105,,,,0.109,,,,0.142,,,,0.095,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpense / pure,,,,,,,,,,,,,,0.013,,,,0.013,,,,0.013,,,,-0.006,,,,-0.017,,,,0.016,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseMealsAndEntertainment / pure,,-0.055,,,,0.002,,,,0.003,,,,0.004,,,,0.005,,,,0.007,,,,0.002,,,,0.002,,,,0.004,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost / pure,,-1.638,,,,0.004,,,,0.038,,,,0.19,,,,0.076,,,,0.205,,,,0.596,,,,0.299,,,,0.31,,,
EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent / pure,,-0.034,,,,-0.001,,,,0.004,,,,0.009,,,,-0.004,,,,-0.003,,,,0.001,,,,0.005,,,,-0.006,,,
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31000000.0,-42000000.0,,-27000000.0,-36000000.0,-45000000.0,,-11000000.0,-29000000.0,-43000000.0
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,0.085,,,,0.054,,,,0.075,,,,0.026,,,,0.05,,,,0.017,,,,-0.157,,,,-0.053,,,,0.07,,,
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch / pure,,,,,,,,,,,,,,,,,,0.039,,,,0.05,,,,0.141,,,,0.153,,,,0.118,,,
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount / USD,10000.0,4000.0,1000.0,4000.0,9000.0,11000.0,45000.0,189000.0,453000.0,88000.0,144000.0,758000.0,1192000.0,543000.0,455000.0,788000.0,1269000.0,1485000.0,298000.0,880000.0,1394000.0,1588000.0,631000.0,1449000.0,2076000.0,2245000.0,520000.0,1942000.0,2668000.0,3320000.0,765000.0,2086000.0,3814000.0,4014000.0,1428000.0,2901000.0,4316000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,,,,,,,,,,,,,,,,,,,,,43100000.0,,,,135000000.0,,,,104000000.0,,,,48000000.0,,,
EntityPublicFloat / USD,,0.0,,,,1543997839.0,,,,3279011436.0,,,,8779399707.0,,,,16815566802.0,,,,33366438121.0,,,,18431645367.0,,,,34083149160.0,,,,43514637327.0,,,
ForeignCurrencyTransactionGainLossBeforeTax / USD,-934000.0,-306000.0,-46000.0,-402000.0,-489000.0,-1023000.0,-428000.0,-1318000.0,-3159000.0,-1151000.0,-544000.0,-1640000.0,-2035000.0,-4033000.0,-1330000.0,-1196000.0,-784000.0,-1919000.0,-1234000.0,-1586000.0,-1574000.0,-695000.0,353000.0,149000.0,-1004000.0,-961000.0,795000.0,478000.0,435000.0,-1751000.0,-723000.0,24000.0,1721000.0,961000.0,715000.0,670000.0,-41000.0
