fact_unit,2020-05-07,2020-05-12,2020-08-12,2020-11-10,2021-03-01,2021-04-30,2021-05-10,2021-08-09,2021-11-08,2022-02-28,2022-04-29,2022-05-09,2022-08-08,2022-11-07,2023-02-27,2023-04-28,2023-05-08,2023-08-07,2023-11-08,2024-02-28,2024-04-26,2024-05-09,2024-08-08,2024-11-07,2025-02-27,2025-04-30,2025-05-08,2025-08-07,2025-11-06
DefinedBenefitPlanServiceCost / USD,,,,,600000.0,,,,,600000.0,,,,,1200000.0,,,,,3400000.0,,,,,3400000.0,,,,
DefinedBenefitPlanUltimateHealthCareCostTrendRate1 / pure,,,,,0.045,,,,,0.045,,,,,0.04,,,,,0.04,,,,,0.04,,,,
DefinedContributionPlanCostRecognized / USD,,,,,85200000.0,,,,,95600000.0,,,,,115500000.0,,,,,107400000.0,,,,,111500000.0,,,,
Depreciation / USD,,,,,279500000.0,,,,,256100000.0,,,,,289700000.0,,,,,509500000.0,,,,,349500000.0,,,,
DepreciationDepletionAndAmortization / USD,,,,,2109900000.0,,415000000.0,830700000.0,1263000000.0,2019300000.0,,1422500000.0,2739600000.0,3756700000.0,2216100000.0,,736000000.0,1458300000.0,2157800000.0,4506500000.0,,730000000.0,1416700000.0,2096100000.0,3027600000.0,,691000000.0,1477300000.0,2147000000.0
DerivativeFairValueOfDerivativeAsset / USD,,,,,43300000.0,,118600000.0,118600000.0,118600000.0,118600000.0,,144600000.0,144600000.0,144600000.0,144600000.0,,134700000.0,134700000.0,134700000.0,134700000.0,,106200000.0,106200000.0,106200000.0,106200000.0,,261600000.0,261600000.0,261600000.0
DerivativeFairValueOfDerivativeLiability / USD,,,,,12900000.0,,103600000.0,103600000.0,103600000.0,103600000.0,,61000000.0,61000000.0,61000000.0,61000000.0,,187000000.0,187000000.0,187000000.0,187000000.0,,124600000.0,124600000.0,124600000.0,124600000.0,,125800000.0,125800000.0,125800000.0
DisposalGroupIncludingDiscontinuedOperationDeferredTaxLiabilities / USD,,,,,,,,,,,,,,,,,,,,0.0,,,,,77200000.0,,,,
DividendsCommonStockCash / USD,,,,,,,,134500000.0,268900000.0,,,,,,403300000.0,,146500000.0,295100000.0,443700000.0,403300000.0,,147800000.0,295200000.0,442900000.0,591800000.0,,146100000.0,293300000.0,440000000.0
EarningsPerShareBasic / USD/shares,0.0,0.0,,,0.69,,0.04,0.12,0.48,0.03,,-0.86,-1.09,-0.83,-1.11,,0.33,0.59,0.88,-1.05,,0.19,0.41,0.68,1.71,,0.1,-0.18,-0.1
