fact_unit,2018-08-30,2019-08-23,2020-08-14,2021-08-13,2022-08-19,2022-11-04,2023-02-03,2023-05-05,2023-08-18,2023-11-03,2024-02-02,2024-04-26,2024-08-16,2024-11-01,2025-01-31,2025-05-02,2025-08-15,2025-10-31
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,,,,12370000.0,12370000.0,12370000.0,12670000.0,7839000.0,47534000.0,47533000.0,47536000.0,45634000.0,45634000.0,45634000.0,45634000.0,41303000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,,,,14908000.0,14908000.0,14908000.0,15208000.0,12670000.0,52365000.0,52365000.0,52705000.0,47861000.0,47861000.0,47861000.0,47861000.0,46808000.0
FiniteLivedIntangibleAssetsGross / USD,,,,,,397513000.0,397513000.0,397513000.0,397513000.0,398713000.0,398713000.0,398713000.0,398713000.0,676367000.0,676367000.0,676367000.0,676367000.0,673547000.0
FiniteLivedIntangibleAssetsNet / USD,,,,,,92544000.0,84248000.0,76093000.0,69072000.0,60842000.0,329010000.0,312816000.0,299057000.0,286475000.0,272578000.0,258682000.0,299057000.0,244840000.0
ForeignCurrencyTransactionGainLossBeforeTax / USD,,,,,,6398000.0,11656000.0,8033000.0,-7595000.0,3625000.0,5828000.0,6005000.0,12065000.0,-181000.0,-2418000.0,-142000.0,10613000.0,-3040000.0
GainLossOnInvestments / USD,,,,,,-31422000.0,-53557000.0,-72222000.0,48080000.0,-11513000.0,-19076000.0,-17264000.0,-72663000.0,-6248000.0,-7690000.0,-11750000.0,-19407000.0,-15292000.0
GainLossOnSaleOfPreviouslyUnissuedStockBySubsidiaryOrEquityInvesteeNonoperatingIncome / USD,,,,,,0.0,0.0,0.0,0.0,43092000.0,45158000.0,45158000.0,0.0,,,,45158000.0,
GeneralAndAdministrativeExpense / USD,85458000.0,118784000.0,151242000.0,215714000.0,268409000.0,89822000.0,205500000.0,320484000.0,311238000.0,142893000.0,299024000.0,464127000.0,452193000.0,143310000.0,300654000.0,458249000.0,606362000.0,146641000.0
Goodwill / USD,7138000.0,311900000.0,311943000.0,608907000.0,645140000.0,722838000.0,722838000.0,722838000.0,715929000.0,727211000.0,727211000.0,727211000.0,722838000.0,1288756000.0,1288756000.0,1288756000.0,727211000.0,1304445000.0
GoodwillAcquiredDuringPeriod / USD,,,,,,,,,9361000.0,,558224000.0,558224000.0,3300000.0,3700000.0,3700000.0,3700000.0,561372000.0,13835000.0
GoodwillForeignCurrencyTranslationGainLoss / USD,,,,,,-926000.0,391000.0,604000.0,-2452000.0,-692000.0,461000.0,310000.0,1073000.0,615000.0,-269000.0,486000.0,173000.0,-252000.0
GrossProfit / USD,381275000.0,507523000.0,708288000.0,999842000.0,1345366000.0,517768000.0,1096103000.0,1720531000.0,1757282000.0,668000000.0,1384759000.0,2131560000.0,2349968000.0,799746000.0,1665320000.0,2641023000.0,2900882000.0,970157000.0
ImpairmentOfLeasehold / USD,,,,,,,,,,,,,,,,,8400000.0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,,,,,,,,-603257000.0,,,,-480982000.0,,,,-25250000.0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,,,,,,-410568000.0,-430817000.0,-424558000.0,-514415000.0,-5716000.0,-110249000.0,-265690000.0,-470938000.0,-10954000.0,-51063000.0,-31288000.0,-311136000.0,-30164000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,,,,,,,88842000.0,,,,10044000.0,,,,-285886000.0,
IncomeTaxExaminationPenaltiesAndInterestAccrued / USD,,,,,,,,,5800000.0,,,,5800000.0,,,,5800000.0,
IncomeTaxExaminationPenaltiesAndInterestExpense / USD,,,,,,,,,,,,,5800000.0,,,,5800000.0,
IncomeTaxExpenseBenefit / USD,,,,,,636000.0,2715000.0,4313000.0,64564000.0,8025000.0,108523000.0,162119000.0,48572000.0,20929000.0,65289000.0,72312000.0,175625000.0,93605000.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / USD,,,,,,,,,136284000.0,,,,172033000.0,,,,98613000.0,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,,,,,,,,-108027000.0,,,,-98897000.0,,,,-65339000.0,
IncomeTaxReconciliationOtherAdjustments / USD,,,,,,,,,744000.0,,,,1354000.0,,,,5327000.0,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,,,,,,,,,9144000.0,,,,13363000.0,,,,13042000.0,
IncomeTaxReconciliationTaxCredits / USD,,,,,,,,,73280000.0,,,,107956000.0,,,,99398000.0,
